payment_id,trip_id,amount,payment_method,payment_status,payment_time
1,1,134.27,Card,FAILED,2026-02-12 21:03:38
2,2,592.2,Card,SUCCESS,2026-07-22 17:40:26
3,3,100.62,Cash,FAILED,2026-04-27 12:33:58
4,4,314.77,UPI,SUCCESS,2026-01-10 04:45:23
5,5,417.37,UPI,SUCCESS,2026-01-29 03:21:48
6,6,521.4,UPI,SUCCESS,2025-12-15 22:50:39
7,7,108.71,Card,SUCCESS,2025-08-30 22:16:17
8,8,658.69,UPI,SUCCESS,2025-10-28 03:02:25
9,9,220.53,Card,SUCCESS,2026-01-12 08:02:21
10,10,289.15,Card,FAILED,2025-08-28 04:41:32
11,11,591.13,UPI,SUCCESS,2026-06-19 02:33:21
12,12,419.43,Card,SUCCESS,2025-11-01 20:55:41
13,13,470.02,Cash,SUCCESS,2026-03-08 02:23:57
14,14,98.97,Cash,SUCCESS,2026-05-04 16:08:45
15,15,265.18,Card,FAILED,2025-09-29 17:25:37
16,16,436.42,UPI,FAILED,2026-06-21 09:18:05
17,17,545.49,UPI,SUCCESS,2026-03-19 22:26:04
18,18,519.8,Cash,SUCCESS,2025-12-15 20:08:25
19,19,558.6,UPI,SUCCESS,2026-04-03 20:01:34
20,20,440.63,Cash,SUCCESS,2026-02-25 18:16:53
21,21,276.29,UPI,SUCCESS,2025-08-26 09:10:37
22,22,265.62,Card,FAILED,2025-08-03 10:07:19
23,23,108.25,Cash,SUCCESS,2025-11-03 19:39:52
24,24,261.48,Cash,SUCCESS,2025-12-14 04:14:31
25,25,390.73,UPI,SUCCESS,2026-06-03 01:21:31
26,26,85.0,UPI,SUCCESS,2025-10-27 15:59:27
27,27,340.73,Card,SUCCESS,2026-07-16 18:46:34
28,28,435.51,Cash,SUCCESS,2026-04-28 18:51:34
29,29,63.84,Card,FAILED,2026-07-21 14:31:46
30,30,78.84,Card,FAILED,2025-07-24 18:37:06
31,31,331.89,UPI,SUCCESS,2026-07-03 13:09:30
32,32,286.71,UPI,SUCCESS,2025-08-27 08:52:48
33,33,55.84,Card,SUCCESS,2026-03-21 08:24:19
34,34,316.54,Cash,FAILED,2026-06-19 03:25:41
35,35,154.5,Cash,SUCCESS,2026-06-03 19:03:33
36,36,38.18,Card,SUCCESS,2025-09-27 15:15:49
37,37,403.08,Card,SUCCESS,2025-08-15 04:30:42
38,38,129.55,Card,SUCCESS,2026-03-29 15:42:32
39,39,548.87,UPI,SUCCESS,2025-12-26 02:16:31
40,40,339.39,Cash,SUCCESS,2026-03-30 00:38:09
41,41,115.1,Cash,SUCCESS,2026-01-22 18:49:29
42,42,315.19,UPI,FAILED,2025-09-18 19:14:53
43,43,431.01,Card,SUCCESS,2025-12-06 03:11:52
44,44,85.74,Cash,FAILED,2026-06-17 21:21:28
45,45,58.21,UPI,SUCCESS,2026-07-18 00:55:10
46,46,239.41,UPI,SUCCESS,2025-09-27 05:50:37
47,47,410.31,Cash,FAILED,2026-02-11 04:24:40
48,48,371.55,Cash,SUCCESS,2025-12-30 11:02:31
49,49,67.13,Cash,FAILED,2025-12-30 10:26:50
50,50,169.26,Card,SUCCESS,2025-12-25 08:55:05
51,51,303.41,Cash,SUCCESS,2026-06-08 01:50:01
52,52,466.43,Cash,SUCCESS,2025-09-27 06:43:31
53,53,569.06,Cash,FAILED,2026-03-29 16:12:57
54,54,563.48,UPI,SUCCESS,2026-03-02 02:09:47
55,55,481.76,Cash,FAILED,2026-06-24 23:45:28
56,56,675.82,Card,SUCCESS,2025-09-22 08:08:20
57,57,242.65,Card,SUCCESS,2026-03-25 12:10:31
58,58,432.63,Cash,SUCCESS,2026-04-22 23:43:09
59,59,565.56,Cash,FAILED,2026-07-02 15:55:45
60,60,662.65,Card,FAILED,2025-09-16 00:17:17
61,61,374.28,Cash,SUCCESS,2026-06-24 02:38:55
62,62,312.59,UPI,SUCCESS,2025-12-22 00:56:57
63,63,152.76,Card,SUCCESS,2026-03-25 07:01:28
64,64,298.2,Card,SUCCESS,2025-07-28 04:59:00
65,65,211.75,Cash,SUCCESS,2026-01-03 09:13:27
66,66,177.43,Card,FAILED,2025-09-20 16:27:50
67,67,185.28,Cash,FAILED,2026-07-15 06:43:51
68,68,530.73,UPI,SUCCESS,2026-03-29 17:31:46
69,69,33.04,UPI,FAILED,2026-04-30 19:28:37
70,70,460.42,Cash,SUCCESS,2025-08-21 12:06:18
71,71,589.67,UPI,SUCCESS,2025-11-26 18:52:12
72,72,392.11,Card,FAILED,2025-12-25 16:13:01
73,73,232.7,UPI,SUCCESS,2025-12-26 11:33:52
74,74,120.45,Cash,SUCCESS,2026-03-12 11:09:03
75,75,189.56,Cash,SUCCESS,2025-09-24 14:43:34
76,76,341.76,UPI,SUCCESS,2025-09-06 13:36:43
