rating_id,trip_id,customer_id,driver_id,rating,comment
1,1,497,107,4,Good experience
2,2,958,425,5,Could be better
3,3,309,291,4,Great ride
4,4,122,93,5,Driver was polite
5,5,482,441,5,Very comfortable
6,6,675,24,3,Great ride
7,7,706,259,5,Great ride
8,8,999,346,2,Driver was polite
9,9,346,359,5,Good experience
10,10,189,171,3,Driver was polite
11,11,633,157,2,Great ride
12,12,755,349,1,Good experience
13,13,479,309,5,Average service
14,14,256,41,3,Good experience
15,15,693,310,1,Good experience
16,16,998,259,1,Average service
17,17,294,147,1,Very comfortable
18,18,405,280,1,Could be better
19,19,963,301,3,Good experience
20,20,105,181,4,Good experience
21,21,868,312,1,Great ride
22,22,249,173,3,Very comfortable
23,23,859,105,3,Average service
24,24,855,270,5,Driver was polite
25,25,710,224,3,Driver was polite
26,26,706,439,4,Great ride
27,27,779,361,5,Average service
28,28,346,291,1,Driver was polite
29,29,878,404,1,Could be better
30,30,848,21,3,Very comfortable
31,31,185,343,2,Very comfortable
32,32,652,36,1,Driver was polite
33,33,235,489,3,Driver was polite
34,34,294,445,4,Very comfortable
35,35,352,301,2,Good experience
36,36,511,369,4,Average service
37,37,817,222,2,Average service
38,38,89,89,4,Driver was polite
39,39,978,483,2,Good experience
40,40,701,430,4,Average service
41,41,152,308,1,Average service
42,42,390,493,2,Great ride
43,43,409,83,4,Average service
44,44,415,295,4,Great ride
45,45,139,126,5,Driver was polite
46,46,335,145,1,Very comfortable
47,47,26,281,1,Very comfortable
48,48,961,372,2,Could be better
49,49,314,278,2,Average service
50,50,223,165,2,Driver was polite
51,51,17,483,4,Good experience
52,52,399,376,5,Average service
53,53,782,79,3,Good experience
54,54,416,411,3,Could be better
55,55,633,229,4,Average service
56,56,135,176,4,Very comfortable
57,57,364,22,2,Very comfortable
58,58,828,496,2,Great ride
59,59,610,197,1,Driver was polite
60,60,790,368,3,Great ride
61,61,318,314,5,Driver was polite
62,62,2,286,1,Average service
63,63,155,122,3,Great ride
64,64,469,270,5,Great ride
65,65,503,355,5,Very comfortable
66,66,265,490,2,Average service
67,67,502,283,5,Good experience
68,68,95,474,2,Average service
69,69,806,268,1,Could be better
70,70,476,395,3,Driver was polite
71,71,2,433,2,Very comfortable
72,72,411,123,1,Good experience
73,73,372,405,1,Very comfortable
74,74,934,277,5,Could be better
75,75,291,154,4,Great ride
76,76,555,479,3,Average service
77,77,979,95,4,Average service
78,78,144,207,5,Could be better
79,79,383,165,2,Good experience
80,80,45,455,5,Great ride
81,81,611,11,1,Great ride
82,82,69,81,4,Very comfortable
83,83,457,229,1,Good experience
84,84,864,6,1,Good experience
85,85,749,188,4,Great ride
86,86,104,433,5,Could be better
87,87,761,424,5,Very comfortable
88,88,282,223,3,Driver was polite
89,89,285,168,5,Very comfortable
90,90,499,159,2,Could be better
91,91,657,203,4,Very comfortable
92,92,460,480,1,Very comfortable
93,93,116,394,3,Driver was polite
94,94,132,327,1,Good experience
95,95,768,478,5,Very comfortable
96,96,859,299,2,Good experience
97,97,513,335,4,Great ride
98,98,654,19,2,Great ride
99,99,189,425,2,Average service
100,100,787,437,4,Great ride
101,101,638,40,3,Average service
102,102,476,204,3,Average service
103,103,784,66,1,Good experience
104,104,40,219,4,Average service
105,105,316,447,5,Good experience
106,106,697,73,5,Great ride
107,107,904,139,4,Could be better
108,108,845,427,5,Could be better
109,109,866,284,4,Driver was polite
110,110,674,387,2,Great ride
111,111,735,4,3,Great ride
112,112,796,456,4,Good experience
