trip_id,customer_id,driver_id,pickup_location,drop_location,distance_km,fare_amount,payment_method,trip_status,trip_timestamp
1,71,279,Indiranagar,Koramangala,13.39,239.28,Cash,Completed,2026-07-12 00:46:57
2,734,33,Banjara Hills,Whitefield,12.62,296.33,Card,Completed,2025-11-23 20:34:31
3,434,271,Banjara Hills,Whitefield,22.49,371.54,UPI,Completed,2026-06-14 13:52:06
4,871,122,Hitech City,Hitech City,25.44,411.55,UPI,Completed,2025-09-06 03:49:32
5,837,294,Banjara Hills,Indiranagar,24.06,592.26,UPI,Cancelled,2025-08-25 04:30:31
6,300,413,Indiranagar,Koramangala,7.06,133.61,Card,Completed,2025-10-26 23:31:05
7,544,245,Connaught Place,Koramangala,17.96,403.65,Cash,Completed,2025-10-20 04:27:40
8,309,441,Gachibowli,Gachibowli,16.3,259.83,Card,Completed,2025-09-25 08:05:39
9,937,36,Whitefield,Whitefield,24.88,582.01,Card,Cancelled,2026-07-16 03:29:31
10,375,361,Gachibowli,Hitech City,4.92,83.78,Card,Completed,2025-08-06 00:39:48
11,442,183,Connaught Place,Andheri,2.24,46.16,UPI,Completed,2025-11-08 21:35:43
12,786,52,Banjara Hills,Connaught Place,24.7,583.98,Cash,Completed,2026-04-30 02:33:07
13,966,67,Banjara Hills,Connaught Place,18.13,397.49,Card,Completed,2025-08-15 22:15:39
14,463,248,Andheri,Whitefield,28.32,456.35,Card,Cancelled,2026-03-04 16:48:07
15,923,37,Gachibowli,Koramangala,22.94,540.39,Cash,Completed,2026-05-21 09:50:02
16,758,351,Banjara Hills,Koramangala,20.58,453.4,UPI,Completed,2026-05-14 00:51:40
17,500,364,Banjara Hills,Andheri,15.37,253.65,UPI,Completed,2025-11-20 06:26:27
18,624,437,Gachibowli,Connaught Place,14.06,313.63,UPI,Completed,2026-04-24 15:07:54
19,641,465,Koramangala,Gachibowli,11.64,257.18,Card,Completed,2025-10-13 00:33:17
20,873,476,Whitefield,Banjara Hills,27.68,481.79,Card,Completed,2026-03-02 22:14:56
21,266,310,Andheri,Gachibowli,7.29,143.85,UPI,Completed,2026-01-11 15:43:14
22,307,53,Indiranagar,Connaught Place,9.45,148.62,Cash,Completed,2025-08-15 04:33:46
23,348,202,Gachibowli,Gachibowli,29.77,700.21,Cash,Completed,2025-08-02 20:26:54
24,133,184,Indiranagar,Indiranagar,28.45,631.89,UPI,Completed,2026-01-11 04:20:14
25,917,257,Indiranagar,Andheri,13.08,242.97,UPI,Completed,2025-10-12 04:53:39
26,494,370,Hitech City,Whitefield,27.1,407.09,Cash,Cancelled,2025-09-17 15:54:29
27,701,40,Gachibowli,Whitefield,19.77,449.96,UPI,Cancelled,2026-02-16 00:06:37
28,764,463,Andheri,Banjara Hills,13.04,234.72,Cash,Completed,2026-03-01 07:17:45
29,490,471,Hitech City,Banjara Hills,8.69,176.85,Cash,Cancelled,2025-09-24 15:00:15
30,235,128,Koramangala,Andheri,9.85,239.03,Card,Completed,2025-11-10 08:36:40
31,752,161,Whitefield,Andheri,11.55,199.76,Cash,Completed,2026-06-30 03:03:36
32,108,245,Connaught Place,Koramangala,5.77,105.9,Card,Cancelled,2026-02-22 15:46:14
33,968,8,Koramangala,Whitefield,28.4,589.03,Cash,Cancelled,2026-04-01 20:38:27
34,532,65,Banjara Hills,Indiranagar,28.61,596.37,Card,Completed,2025-07-29 03:52:53
35,630,453,Koramangala,Banjara Hills,24.46,516.76,UPI,Completed,2026-03-11 12:19:09
36,581,164,Indiranagar,Hitech City,28.55,503.27,Card,Completed,2025-10-27 14:18:32
37,216,337,Koramangala,Indiranagar,13.63,293.62,Card,Completed,2025-10-27 08:57:12
38,42,213,Indiranagar,Koramangala,13.79,267.96,Cash,Cancelled,2026-06-28 09:49:12
39,719,51,Indiranagar,Indiranagar,11.8,185.38,Cash,Completed,2025-08-21 18:00:11
40,921,498,Whitefield,Gachibowli,2.98,65.58,UPI,Completed,2025-11-13 10:45:19
41,661,35,Andheri,Whitefield,25.95,533.65,UPI,Completed,2025-09-04 05:26:33
42,743,345,Banjara Hills,Gachibowli,2.09,34.26,UPI,Completed,2025-10-01 17:37:30
43,407,1,Banjara Hills,Banjara Hills,22.2,517.23,Card,Cancelled,2026-05-20 06:30:08
44,645,351,Gachibowli,Hitech City,27.87,536.16,Card,Cancelled,2025-08-21 04:07:01
45,378,150,Whitefield,Hitech City,15.53,317.05,Card,Cancelled,2025-12-16 03:25:08
46,963,269,Banjara Hills,Indiranagar,4.08,81.25,Card,Cancelled,2026-05-12 06:17:35
47,382,178,Banjara Hills,Hitech City,3.82,71.96,Cash,Completed,2026-02-22 06:19:58
48,277,309,Whitefield,Connaught Place,3.23,69.18,UPI,Completed,2025-08-10 05:21:58
49,502,114,Indiranagar,Gachibowli,19.21,431.77,Cash,Completed,2025-08-23 02:28:21
50,665,275,Koramangala,Indiranagar,12.82,211.36,Cash,Completed,2026-01-17 06:41:28
51,305,236,Indiranagar,Indiranagar,17.81,365.18,UPI,Completed,2026-06-11 01:59:01
52,364,460,Whitefield,Gachibowli,28.64,478.23,Cash,Completed,2025-08-02 03:58:39
53,565,1,Gachibowli,Koramangala,2.04,36.31,UPI,Completed,2026-06-26 12:03:55
54,745,25,Koramangala,Connaught Place,17.18,394.16,Cash,Completed,2026-07-14 16:36:26
55,757,349,Banjara Hills,Hitech City,8.57,143.7,Card,Completed,2026-04-23 03:53:28
56,6,308,Whitefield,Connaught Place,18.41,417.17,Cash,Completed,2025-11-13 15:17:43
57,228,388,Andheri,Andheri,19.05,427.99,Card,Cancelled,2026-01-31 11:00:30
58,8,337,Indiranagar,Connaught Place,19.34,367.32,Cash,Cancelled,2025-10-07 05:08:27
59,947,286,Andheri,Indiranagar,29.42,551.79,UPI,Completed,2026-07-03 05:05:15
60,720,118,Indiranagar,Indiranagar,26.58,503.33,UPI,Completed,2026-04-05 14:06:04
61,325,171,Gachibowli,Whitefield,26.49,400.26,Card,Completed,2025-09-12 00:03:37
62,85,402,Whitefield,Koramangala,13.54,258.13,UPI,Completed,2026-06-23 23:33:51
63,912,112,Whitefield,Andheri,19.53,440.52,Cash,Completed,2026-02-12 05:21:13
64,192,107,Gachibowli,Hitech City,24.46,405.41,Card,Cancelled,2025-12-24 12:55:04
65,297,294,Banjara Hills,Hitech City,24.31,431.24,UPI,Cancelled,2026-07-19 22:58:12
66,901,307,Hitech City,Andheri,2.95,45.36,Cash,Cancelled,2025-12-13 06:45:12
67,23,419,Andheri,Gachibowli,4.45,109.09,UPI,Completed,2025-11-19 09:14:33
68,279,368,Gachibowli,Gachibowli,13.4,311.63,Card,Completed,2026-04-28 22:42:32
69,51,47,Andheri,Banjara Hills,11.09,177.41,UPI,Completed,2025-09-09 03:26:47
70,890,153,Connaught Place,Whitefield,5.03,88.49,Cash,Cancelled,2026-04-20 10:33:30
71,921,133,Gachibowli,Banjara Hills,20.24,423.7,UPI,Completed,2025-12-11 01:03:32
72,750,426,Indiranagar,Koramangala,5.58,110.06,Card,Cancelled,2026-04-14 17:28:52
73,651,444,Indiranagar,Hitech City,23.79,514.87,Card,Completed,2025-10-29 01:14:10
74,679,198,Indiranagar,Indiranagar,2.77,55.42,Cash,Completed,2025-08-17 07:36:42
75,979,299,Whitefield,Connaught Place,21.48,483.62,Card,Completed,2026-05-28 07:58:16
76,310,286,Indiranagar,Whitefield,28.36,493.62,Card,Completed,2025-10-21 11:51:41
77,299,432,Gachibowli,Connaught Place,3.17,63.51,Card,Completed,2025-08-20 08:26:05
78,882,2,Gachibowli,Indiranagar,11.36,196.2,Card,Completed,2026-07-19 01:50:55
79,321,1,Hitech City,Gachibowli,16.63,303.98,Cash,Completed,2025-08-14 08:13:33
80,454,31,Koramangala,Banjara Hills,25.65,462.39,Card,Completed,2026-04-17 12:54:28
81,884,200,Connaught Place,Hitech City,7.66,157.25,UPI,Cancelled,2025-08-11 05:36:18
82,736,78,Koramangala,Indiranagar,10.76,180.42,Card,Completed,2026-05-03 19:32:06
83,746,127,Koramangala,Whitefield,28.25,507.81,Cash,Cancelled,2026-02-22 02:00:45
84,120,467,Connaught Place,Connaught Place,26.95,459.23,Card,Completed,2025-11-05 08:06:33
85,799,53,Whitefield,Connaught Place,13.9,307.14,Card,Cancelled,2025-11-05 04:54:47
86,513,229,Banjara Hills,Indiranagar,21.93,513.73,Cash,Completed,2026-07-16 23:58:01
